File ,Date/time ,ROI Ch,H/V,R1090,R1090_C,Over-,Over-,MTF50,MTF50P,MTF,Camera,Lens,FL,f-stop,Location,ISO,Misc.,Gamma, ,Chr Aber,Secondary,,Secondary,,EdgeRough,Shutter,Edge,Dark,Light,Under-
imatest_noise0.5_blur1.5.png,2022-06-20 23:44:17,1 Y,Horiz (V-edge), 3.53,  NaN, 10.2,-21.4,0.1350,0.1350,0.0772,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.13,MTF30,0.1676,,,, ,  3.794, 0.4248, 0.7408,  6.9
imatest_noise0.6_blur1.5.png,2022-06-20 23:44:18,1 Y,Horiz (V-edge), 3.29,  NaN, 11.3,-23.2,0.1367,0.1367,0.1396,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.48,MTF30,0.17361,,,, ,  3.269, 0.4328, 0.7464,  6.8
imatest_noise0.7_blur1.5.png,2022-06-20 23:44:18,1 Y,Horiz (V-edge), 3.57,  NaN, 10.3,-28.3,0.1191,0.1191,0.2782,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.83,MTF30,0.16285,,,, ,  2.863, 0.4539, 0.7587, 11.7
imatest_noise0.8_blur1.5.png,2022-06-20 23:44:19,1 Y,Horiz (V-edge), 2.66,  NaN, 20.3,-28.4,0.1359,0.1359,0.5046,,, , ,6.9% left of ctr, ,,0.500,  NaN, 2.19,MTF30,0.25987,,,, ,  1.623, 0.4586, 0.7631, 15.7
imatest_noise0.9_blur1.5.png,2022-06-20 23:44:19,1 Y,Horiz (V-edge), 3.04,  NaN, 28.3,-17.9,0.1277,0.5693,1.1173,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.28,MTF30,0.16396,,,, ,  2.469, 0.4796, 0.7704, 14.8
imatest_noise1.0_blur1.5.png,2022-06-20 23:44:20,1 Y,Horiz (V-edge), 3.02,  NaN,  8.8,-23.1,0.1263,0.1263,0.4590,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.89,MTF30,0.16388,,,, ,  3.925, 0.0000, 0.4939, 15.8
imatest_noise0.0_blur2.0.png,2022-06-20 23:44:20,1 Y,Horiz (V-edge), 5.16,  NaN,  0.0,-23.4,0.1027,0.1027,0.0036,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.00,MTF30,0.13447,,,, ,  3.912, 0.3886, 0.7294,  0.0
imatest_noise0.1_blur2.0.png,2022-06-20 23:44:21,1 Y,Horiz (V-edge), 5.05,  NaN,  1.3,-23.3,0.1045,0.1045,0.0349,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.01,MTF30,0.1361,,,, ,  4.068, 0.3927, 0.7297,  0.7
imatest_noise0.2_blur2.0.png,2022-06-20 23:44:21,1 Y,Horiz (V-edge), 5.02,  NaN,  1.8,-23.7,0.1016,0.1016,0.0466,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.08,MTF30,0.13535,,,, ,  4.093, 0.3970, 0.7307,  1.8
imatest_noise0.3_blur2.0.png,2022-06-20 23:44:22,1 Y,Horiz (V-edge), 4.89,  NaN,  2.7,-23.7,0.1047,0.1047,0.0866,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.20,MTF30,0.13995,,,, ,  3.800, 0.4032, 0.7335,  2.5
imatest_noise0.4_blur2.0.png,2022-06-20 23:44:22,1 Y,Horiz (V-edge), 4.59,  NaN,  5.7,-23.5,0.1031,0.1031,0.2407,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.31,MTF30,0.14001,,,, ,  3.282, 0.4114, 0.7419,  4.1
imatest_noise0.5_blur2.0.png,2022-06-20 23:44:23,1 Y,Horiz (V-edge), 4.99,  NaN,  7.3,-20.7,0.1006,0.1006,0.2578,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.10,MTF30,0.12856,,,, ,  3.894, 0.4181, 0.7419,  7.2
imatest_noise0.6_blur2.0.png,2022-06-20 23:44:23,1 Y,Horiz (V-edge), 4.93,  NaN,  9.6,-23.6,0.1030,0.1030,0.2633,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.36,MTF30,0.13616,,,, ,  4.074, 0.4276, 0.7374,  6.0
imatest_noise0.7_blur2.0.png,2022-06-20 23:44:24,1 Y,Horiz (V-edge), 4.35,  NaN, 17.3,-23.8,0.1027,0.1027,0.3151,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.08,MTF30,0.13208,,,, ,  2.256, 0.4423, 0.7460, 13.8
imatest_noise0.8_blur2.0.png,2022-06-20 23:44:24,1 Y,Horiz (V-edge), 4.32,  NaN, 18.8,-20.3,0.1144,0.1144,0.5065,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.09,MTF30,0.1836,,,, ,  3.250, 0.4543, 0.7489,  5.3
imatest_noise0.9_blur2.0.png,2022-06-20 23:44:25,1 Y,Horiz (V-edge), 4.93,  NaN, 15.6,-20.6,0.0943,0.5329,0.8856,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.45,MTF30,0.12617,,,, ,  4.137, 0.0000, 0.4763, 17.0
imatest_noise1.0_blur2.0.png,2022-06-20 23:44:25,1 Y,Horiz (V-edge), 7.70,  NaN, 29.7,-20.6,0.0968,0.0968,0.3015,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.52,MTF30,0.12878,,,, ,  4.698, 0.0000, 0.4962, -0.0
imatest_noise0.0_blur2.5.png,2022-06-20 23:44:26,1 Y,Horiz (V-edge), 6.34,  NaN,  0.3,-22.4,0.0855,0.0855,0.0041,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.00,MTF30,0.11605,,,, ,  3.887, 0.3904, 0.7294,  0.3
imatest_noise0.1_blur2.5.png,2022-06-20 23:44:27,1 Y,Horiz (V-edge), 6.33,  NaN,  1.3,-22.1,0.0859,0.0859,0.0262,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.05,MTF30,0.11589,,,, ,  4.205, 0.3947, 0.7305,  0.8
imatest_noise0.2_blur2.5.png,2022-06-20 23:44:27,1 Y,Horiz (V-edge), 6.49,  NaN,  2.2,-22.4,0.0866,0.0866,0.0313,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.05,MTF30,0.11802,,,, ,  4.056, 0.4003, 0.7311,  1.8
imatest_noise0.3_blur2.5.png,2022-06-20 23:44:28,1 Y,Horiz (V-edge), 6.00,  NaN,  3.5,-22.4,0.0834,0.0834,0.0970,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.04,MTF30,0.11345,,,, ,  4.006, 0.4079, 0.7323,  4.1
imatest_noise0.4_blur2.5.png,2022-06-20 23:44:28,1 Y,Horiz (V-edge), 6.12,  NaN,  4.4,-21.8,0.0830,0.0830,0.4345,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.12,MTF30,0.11224,,,, ,  2.919, 0.4166, 0.7356,  6.4
imatest_noise0.5_blur2.5.png,2022-06-20 23:44:28,1 Y,Horiz (V-edge), 6.08,  NaN, 13.9,-21.9,0.0841,0.0841,0.2289,,, , ,7% left of ctr, ,,0.500,  NaN, 0.17,MTF30,0.11102,,,, ,  4.754, 0.4230, 0.7424,  5.5
imatest_noise0.6_blur2.5.png,2022-06-20 23:44:29,1 Y,Horiz (V-edge), 6.48,  NaN,  9.7,-21.1,0.0833,0.0833,0.2348,,, , ,7% left of ctr, ,,0.500,  NaN, 0.18,MTF30,0.11223,,,, ,  4.704, 0.4296, 0.7460,  5.4
imatest_noise0.7_blur2.5.png,2022-06-20 23:44:29,1 Y,Horiz (V-edge), 5.18,  NaN, 18.2,-19.2,0.0881,0.0881,0.4055,,, , ,7% left of ctr, ,,0.500,  NaN, 0.37,MTF30,0.11221,,,, ,  3.300, 0.4466, 0.7428, 10.8
imatest_noise0.8_blur2.5.png,2022-06-20 23:44:30,1 Y,Horiz (V-edge), 5.60,  NaN, 15.4,-20.9,0.0947,0.0947,0.7396,,, , ,7% left of ctr, ,,0.500,  NaN, 0.12,MTF30,0.11868,,,, ,  3.450, 0.4557, 0.7419, 12.7
imatest_noise0.9_blur2.5.png,2022-06-20 23:44:30,1 Y,Horiz (V-edge), 4.86,  NaN, 12.2,-23.0,0.1025,0.1025,0.2649,,, , ,7% left of ctr, ,,0.500,  NaN, 0.61,MTF30,0.13758,,,, ,  2.494, 0.0000, 0.4618,  8.8
imatest_noise1.0_blur2.5.png,2022-06-20 23:44:31,1 Y,Horiz (V-edge), 4.52,  NaN, 14.4,-22.6,0.1059,0.1059,0.3865,,, , ,7% left of ctr, ,,0.500,  NaN, 0.36,MTF30,0.13786,,,, ,  2.700, 0.0000, 0.4689,  9.9
imatest_noise0.0_blur3.0.png,2022-06-20 23:44:32,1 Y,Horiz (V-edge), 7.45,  NaN,  0.9,-22.3,0.0757,0.0757,0.0082,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.00,MTF30,0.10147,,,, ,  2.894, 0.3943, 0.7287,  0.9
imatest_noise0.1_blur3.0.png,2022-06-20 23:44:32,1 Y,Horiz (V-edge), 7.30,  NaN,  2.4,-22.3,0.0761,0.0761,0.0388,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.04,MTF30,0.10219,,,, ,  4.174, 0.3990, 0.7300,  1.5
imatest_noise0.2_blur3.0.png,2022-06-20 23:44:33,1 Y,Horiz (V-edge), 7.20,  NaN,  3.6,-22.1,0.0762,0.0762,0.0473,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.11,MTF30,0.10284,,,, ,  2.594, 0.4038, 0.7312,  1.8
imatest_noise0.3_blur3.0.png,2022-06-20 23:44:33,1 Y,Horiz (V-edge), 7.26,  NaN,  3.5,-22.2,0.0740,0.0740,0.1417,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.23,MTF30,0.098468,,,, ,  1.987, 0.4100, 0.7324,  3.1
imatest_noise0.4_blur3.0.png,2022-06-20 23:44:34,1 Y,Horiz (V-edge), 7.36,  NaN,  6.7,-22.5,0.0730,0.0730,0.3194,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.15,MTF30,0.096047,,,, ,  0.815, 0.4175, 0.7306,  6.2
imatest_noise0.5_blur3.0.png,2022-06-20 23:44:34,1 Y,Horiz (V-edge), 6.59,  NaN, 10.8,-24.3,0.0793,0.0793,0.3285,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.48,MTF30,0.12147,,,, , -0.790, 0.4247, 0.7340,  3.2
imatest_noise0.6_blur3.0.png,2022-06-20 23:44:35,1 Y,Horiz (V-edge), 5.18,  NaN,  9.4,-21.4,0.0771,0.0771,0.0731,,, , ,7% left of ctr, ,,0.500,  NaN, 0.20,MTF30,0.10736,,,, ,  0.533, 0.4257, 0.7339,  4.0
imatest_noise0.7_blur3.0.png,2022-06-20 23:44:35,1 Y,Horiz (V-edge), 4.79,  NaN, 20.7,-22.8,0.0783,0.0783,0.0553,,, , ,7% left of ctr, ,,0.500,  NaN, 0.06,MTF30,0.11459,,,, , -0.965, 0.4439, 0.7386,  7.2
imatest_noise0.8_blur3.0.png,2022-06-20 23:44:36,1 Y,Horiz (V-edge), 5.07,  NaN, 20.2,-19.6,0.0842,0.7623,0.9975,,, , ,7.1% left of ctr, ,,0.500,  NaN, 0.51,MTF30,0.25313,,,, ,  0.809, 0.0000, 0.4578,  9.3
imatest_noise0.9_blur3.0.png,2022-06-20 23:44:36,1 Y,Horiz (V-edge), 2.80,  NaN, 39.0,-25.1,0.0829,0.5158,0.6859,,, , ,7% left of ctr, ,,0.500,  NaN,11.02,MTF30,0.20069,,,, , -0.796, 0.0000, 0.4688, 32.5
imatest_noise1.0_blur3.0.png,2022-06-20 23:44:37,1 Y,Horiz (V-edge), 5.92,  NaN, 32.9,-40.5,0.1590,0.7679,0.6690,,, , ,7.1% left of ctr, ,,0.500,  NaN, 1.77,MTF30,1.904,,,, ,  1.373, 0.0000, 0.4869, 13.3
imatest_noise0.0_blur3.5.png,2022-06-20 23:44:37,1 Y,Horiz (V-edge), 8.25,  NaN,  2.0,-24.1,0.0695,0.0695,0.0070,,, , ,7% left of ctr, ,,0.500,  NaN, 0.00,MTF30,0.089794,,,, ,  3.100, 0.3995, 0.7272,  2.5
imatest_noise0.1_blur3.5.png,2022-06-20 23:44:38,1 Y,Horiz (V-edge), 8.08,  NaN,  2.4,-24.1,0.0698,0.0698,0.0302,,, , ,7% left of ctr, ,,0.500,  NaN, 0.04,MTF30,0.090124,,,, ,  2.613, 0.4042, 0.7277,  2.2
imatest_noise0.2_blur3.5.png,2022-06-20 23:44:38,1 Y,Horiz (V-edge), 8.07,  NaN,  3.5,-24.0,0.0707,0.0707,0.0429,,, , ,7% left of ctr, ,,0.500,  NaN, 0.07,MTF30,0.091792,,,, ,  3.244, 0.4098, 0.7287,  3.8
imatest_noise0.3_blur3.5.png,2022-06-20 23:44:39,1 Y,Horiz (V-edge), 8.01,  NaN,  3.9,-23.8,0.0699,0.0699,0.1085,,, , ,7% left of ctr, ,,0.500,  NaN, 0.10,MTF30,0.090019,,,, ,  2.806, 0.4197, 0.7319,  3.0
imatest_noise0.4_blur3.5.png,2022-06-20 23:44:39,1 Y,Horiz (V-edge), 8.33,  NaN,  7.2,-24.3,0.0675,0.0675,0.1243,,, , ,7.1% left of ctr, ,,0.500,  NaN, 0.19,MTF30,0.086915,,,, ,  2.781, 0.4296, 0.7343,  3.3
imatest_noise0.5_blur3.5.png,2022-06-20 23:44:40,1 Y,Horiz (V-edge), 7.66,  NaN,  8.0,-24.4,0.0717,0.0717,0.3150,,, , ,7.1% left of ctr, ,,0.500,  NaN, 0.19,MTF30,0.097622,,,, ,  2.519, 0.0000, 0.4195,  7.0
imatest_noise0.6_blur3.5.png,2022-06-20 23:44:41,1 Y,Horiz (V-edge), 6.55,  NaN, 10.3,-24.4,0.0711,0.0711,0.4573,,, , ,7.2% left of ctr, ,,0.500,  NaN, 0.46,MTF30,0.094579,,,, ,  1.404, 0.0000, 0.4306, 11.7
imatest_noise0.7_blur3.5.png,2022-06-20 23:44:41,1 Y,Horiz (V-edge), 7.59,  NaN, 18.3,-21.7,0.0786,0.0786,0.3351,,, , ,7.2% left of ctr, ,,0.500,  NaN, 0.45,MTF30,0.10655,,,, ,  3.550, 0.0000, 0.4186, 12.7
imatest_noise0.8_blur3.5.png,2022-06-20 23:44:42,1 Y,Horiz (V-edge), 6.81,  NaN, 15.3,-25.9,0.0641,0.0641,0.6929,,, , ,7.2% left of ctr, ,,0.500,  NaN, 0.97,MTF30,0.083441,,,, , -0.871, 0.0000, 0.4374, 13.4
imatest_noise0.9_blur3.5.png,2022-06-20 23:44:42,1 Y,Horiz (V-edge), 6.56,  NaN, 31.8,-28.4,0.0647,0.0647,0.4189,,, , ,7.2% left of ctr, ,,0.500,  NaN, 0.28,MTF30,0.08762,,,, , -2.005, 0.0000, 0.4479, 12.0
imatest_noise1.0_blur3.5.png,2022-06-20 23:44:43,1 Y,Horiz (V-edge), 5.54,  NaN, 25.2,-25.6,0.0610,0.0610,0.1706,,, , ,7.3% left of ctr, ,,0.500,  NaN, 0.68,MTF30,0.07809,,,, ,  1.028, 0.0000, 0.4637, 14.5
imatest_noise0.0_blur4.0.png,2022-06-20 23:44:43,1 Y,Horiz (V-edge), 9.00,  NaN,  3.7,-25.5,0.0650,0.0650,0.0090,,, , ,7% left of ctr, ,,0.500,  NaN, 0.00,MTF30,0.084242,,,, ,  2.237, 0.4059, 0.7246,  3.5
imatest_noise0.1_blur4.0.png,2022-06-20 23:44:44,1 Y,Horiz (V-edge), 8.99,  NaN,  4.1,-25.4,0.0653,0.0653,0.0473,,, , ,7% left of ctr, ,,0.500,  NaN, 0.03,MTF30,0.084643,,,, ,  1.905, 0.4102, 0.7254,  4.9
imatest_noise0.2_blur4.0.png,2022-06-20 23:44:44,1 Y,Horiz (V-edge), 8.96,  NaN,  5.4,-25.7,0.0647,0.0647,0.0440,,, , ,7% left of ctr, ,,0.500,  NaN, 0.06,MTF30,0.084097,,,, ,  2.250, 0.4144, 0.7266,  4.5
