File ,Date/time ,PH,ROI Ch,H/V,R10-90,R10-90C,Over-,Over-,MTF50,MTF50P,MTF,Camera,Lens,FL,f-stop,Location,ISO,Misc.,Gamma, ,Chr Aber,Secondary,,Secondary,,EdgeRough,Shutter,Edge,Dark,Light,Under-
imatest_noise0.2_blur0.5.png,2022-06-20 23:44:04,  450,1 Y,Horiz (V-edge),  279,  NaN,  2.5,-17.0,  297,  297,0.279,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.09,MTF30,0.47957,,,, ,  4.816, 0.3962, 0.7321,  1.5
imatest_noise0.3_blur0.5.png,2022-06-20 23:44:05,  450,1 Y,Horiz (V-edge),  280,  NaN,  4.2,-18.4,  285,  285,0.197,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.14,MTF30,0.45977,,,, ,  4.729, 0.4026, 0.7338,  2.5
imatest_noise0.4_blur0.5.png,2022-06-20 23:44:05,  450,1 Y,Horiz (V-edge),  302,  NaN,  4.1,-14.9,  287,  287,0.319,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.26,MTF30,0.50811,,,, ,  4.791, 0.4119, 0.7376,  5.2
imatest_noise0.5_blur0.5.png,2022-06-20 23:44:06,  450,1 Y,Horiz (V-edge),  268,  NaN,  8.2,-17.9,  308,  308,0.276,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.34,MTF30,0.48698,,,, ,  4.386, 0.4169, 0.7398,  5.4
imatest_noise0.6_blur0.5.png,2022-06-20 23:44:06,  450,1 Y,Horiz (V-edge),  267,  NaN, 13.0,  2.5,  364,  344,0.341,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.64,MTF30,0.53474,,,, ,  4.467, 0.4294, 0.7459,  8.5
imatest_noise0.7_blur0.5.png,2022-06-20 23:44:07,  450,1 Y,Horiz (V-edge),  321,  NaN, 17.5,  5.6,  328,  319,0.349,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.73,MTF30,0.54721,,,, ,  4.174, 0.4451, 0.7473, 18.6
imatest_noise0.8_blur0.5.png,2022-06-20 23:44:07,  450,1 Y,Horiz (V-edge),  275,  NaN, 26.5, 25.8,  358,  310,0.464,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.50,MTF30,1.0135,,,, ,  4.679, 0.4554, 0.7531,  7.9
imatest_noise0.9_blur0.5.png,2022-06-20 23:44:08,  450,1 Y,Horiz (V-edge),  307,  NaN, 30.3, -7.6,  292,  292,0.023,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.49,MTF30,0.35798,,,, ,  5.233, 0.4669, 0.7581, 12.2
imatest_noise1.0_blur0.5.png,2022-06-20 23:44:08,  450,1 Y,Horiz (V-edge),  340,  NaN, 32.1,-11.2,  266,  266,0.268,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.63,MTF30,0.31334,,,, ,  4.990, 0.4745, 0.7638, 10.9
imatest_noise0.0_blur1.0.png,2022-06-20 23:44:09,  450,1 Y,Horiz (V-edge),  165,  NaN,  0.0,-22.1,  164,  164,0.012,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.00,MTF30,0.24045,,,, ,  4.505, 0.3882, 0.7294,  0.0
imatest_noise0.1_blur1.0.png,2022-06-20 23:44:09,  450,1 Y,Horiz (V-edge),  168,  NaN,  0.8,-22.3,  166,  166,0.033,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.06,MTF30,0.23925,,,, ,  4.698, 0.3927, 0.7306,  0.8
imatest_noise0.2_blur1.0.png,2022-06-20 23:44:10,  450,1 Y,Horiz (V-edge),  169,  NaN,  2.1,-21.9,  167,  167,0.084,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.10,MTF30,0.24216,,,, ,  4.336, 0.3980, 0.7328,  1.8
imatest_noise0.3_blur1.0.png,2022-06-20 23:44:10,  450,1 Y,Horiz (V-edge),  164,  NaN,  4.6,-23.7,  160,  160,0.034,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.08,MTF30,0.25231,,,, ,  4.685, 0.4025, 0.7348,  2.4
imatest_noise0.4_blur1.0.png,2022-06-20 23:44:11,  450,1 Y,Horiz (V-edge),  165,  NaN,  6.5,-24.4,  176,  176,0.117,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.28,MTF30,0.27832,,,, ,  4.673, 0.4111, 0.7365,  4.7
imatest_noise0.5_blur1.0.png,2022-06-20 23:44:11,  450,1 Y,Horiz (V-edge),  162,  NaN,  8.1,-17.5,  160,  160,0.177,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.32,MTF30,0.30502,,,, ,  4.554, 0.4187, 0.7396,  6.4
imatest_noise0.6_blur1.0.png,2022-06-20 23:44:12,  450,1 Y,Horiz (V-edge),  168,  NaN,  4.4,-25.4,  162,  162,0.074,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.19,MTF30,0.23261,,,, ,  4.112, 0.4295, 0.7409,  8.1
imatest_noise0.7_blur1.0.png,2022-06-20 23:44:12,  450,1 Y,Horiz (V-edge),  221,  NaN,  8.9,-23.2,  175,  175,0.219,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.22,MTF30,0.30942,,,, ,  4.087, 0.4441, 0.7434, 15.9
imatest_noise0.8_blur1.0.png,2022-06-20 23:44:13,  450,1 Y,Horiz (V-edge),  184,  NaN, 10.8,-24.1,  183,  183,0.058,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.29,MTF30,0.38957,,,, ,  3.756, 0.4641, 0.7494, 19.2
imatest_noise0.9_blur1.0.png,2022-06-20 23:44:13,  450,1 Y,Horiz (V-edge),  269,  NaN, 12.4,-20.5,  205,  204,0.378,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.51,MTF30,0.53785,,,, ,  5.419, 0.4758, 0.7538, 21.0
imatest_noise1.0_blur1.0.png,2022-06-20 23:44:14,  450,1 Y,Horiz (V-edge),  270,  NaN, 22.5,-12.5,  167,  167,0.675,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.18,MTF30,0.35023,,,, ,  4.816, 0.0000, 0.4944, 20.3
imatest_noise0.0_blur1.5.png,2022-06-20 23:44:14,  450,1 Y,Horiz (V-edge),  114,  NaN,  0.0,-22.9,  117,  117,0.011,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.00,MTF30,0.17202,,,, ,  4.218, 0.3882, 0.7294, -0.0
imatest_noise0.1_blur1.5.png,2022-06-20 23:44:15,  450,1 Y,Horiz (V-edge),  115,  NaN,  1.0,-23.3,  116,  116,0.052,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.02,MTF30,0.17191,,,, ,  4.430, 0.3924, 0.7302,  0.4
imatest_noise0.2_blur1.5.png,2022-06-20 23:44:15,  450,1 Y,Horiz (V-edge),  112,  NaN,  3.4,-23.3,  114,  114,0.065,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.02,MTF30,0.17267,,,, ,  5.413, 0.3986, 0.7317,  1.2
imatest_noise0.3_blur1.5.png,2022-06-20 23:44:16,  450,1 Y,Horiz (V-edge),  120,  NaN,  4.2,-23.0,  117,  117,0.151,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.05,MTF30,0.17576,,,, ,  5.208, 0.4030, 0.7343,  2.6
imatest_noise0.4_blur1.5.png,2022-06-20 23:44:17,  450,1 Y,Horiz (V-edge),  123,  NaN,  5.1,-24.8,  121,  121,0.114,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.10,MTF30,0.17976,,,, ,  4.430, 0.4159, 0.7376,  8.3
imatest_noise0.5_blur1.5.png,2022-06-20 23:44:17,  450,1 Y,Horiz (V-edge),  127,  NaN, 10.2,-21.4,  121,  121,0.077,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.13,MTF30,0.1676,,,, ,  3.794, 0.4248, 0.7408,  6.9
imatest_noise0.6_blur1.5.png,2022-06-20 23:44:18,  450,1 Y,Horiz (V-edge),  137,  NaN, 11.3,-23.2,  123,  123,0.140,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.48,MTF30,0.17361,,,, ,  3.269, 0.4328, 0.7464,  6.8
imatest_noise0.7_blur1.5.png,2022-06-20 23:44:18,  450,1 Y,Horiz (V-edge),  126,  NaN, 10.3,-28.3,  107,  107,0.278,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.83,MTF30,0.16285,,,, ,  2.863, 0.4539, 0.7587, 11.7
imatest_noise0.8_blur1.5.png,2022-06-20 23:44:19,  450,1 Y,Horiz (V-edge),  169,  NaN, 20.3,-28.4,  122,  122,0.505,,, , ,6.9% left of ctr, ,,0.500,  NaN, 2.19,MTF30,0.25987,,,, ,  1.623, 0.4586, 0.7631, 15.7
imatest_noise0.9_blur1.5.png,2022-06-20 23:44:19,  450,1 Y,Horiz (V-edge),  148,  NaN, 28.3,-17.9,  115,  512,1.117,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.28,MTF30,0.16396,,,, ,  2.469, 0.4796, 0.7704, 14.8
imatest_noise1.0_blur1.5.png,2022-06-20 23:44:20,  450,1 Y,Horiz (V-edge),  149,  NaN,  8.8,-23.1,  114,  114,0.459,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.89,MTF30,0.16388,,,, ,  3.925, 0.0000, 0.4939, 15.8
imatest_noise0.0_blur2.0.png,2022-06-20 23:44:20,  450,1 Y,Horiz (V-edge),   87,  NaN,  0.0,-23.4,   92,   92,0.004,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.00,MTF30,0.13447,,,, ,  3.912, 0.3886, 0.7294,  0.0
imatest_noise0.1_blur2.0.png,2022-06-20 23:44:21,  450,1 Y,Horiz (V-edge),   89,  NaN,  1.3,-23.3,   94,   94,0.035,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.01,MTF30,0.1361,,,, ,  4.068, 0.3927, 0.7297,  0.7
imatest_noise0.2_blur2.0.png,2022-06-20 23:44:21,  450,1 Y,Horiz (V-edge),   90,  NaN,  1.8,-23.7,   91,   91,0.047,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.08,MTF30,0.13535,,,, ,  4.093, 0.3970, 0.7307,  1.8
imatest_noise0.3_blur2.0.png,2022-06-20 23:44:22,  450,1 Y,Horiz (V-edge),   92,  NaN,  2.7,-23.7,   94,   94,0.087,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.20,MTF30,0.13995,,,, ,  3.800, 0.4032, 0.7335,  2.5
imatest_noise0.4_blur2.0.png,2022-06-20 23:44:22,  450,1 Y,Horiz (V-edge),   98,  NaN,  5.7,-23.5,   93,   93,0.241,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.31,MTF30,0.14001,,,, ,  3.282, 0.4114, 0.7419,  4.1
imatest_noise0.5_blur2.0.png,2022-06-20 23:44:23,  450,1 Y,Horiz (V-edge),   90,  NaN,  7.3,-20.7,   91,   91,0.258,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.10,MTF30,0.12856,,,, ,  3.894, 0.4181, 0.7419,  7.2
imatest_noise0.6_blur2.0.png,2022-06-20 23:44:23,  450,1 Y,Horiz (V-edge),   91,  NaN,  9.6,-23.6,   93,   93,0.263,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.36,MTF30,0.13616,,,, ,  4.074, 0.4276, 0.7374,  6.0
imatest_noise0.7_blur2.0.png,2022-06-20 23:44:24,  450,1 Y,Horiz (V-edge),  103,  NaN, 17.3,-23.8,   92,   92,0.315,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.08,MTF30,0.13208,,,, ,  2.256, 0.4423, 0.7460, 13.8
imatest_noise0.8_blur2.0.png,2022-06-20 23:44:24,  450,1 Y,Horiz (V-edge),  104,  NaN, 18.8,-20.3,  103,  103,0.507,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.09,MTF30,0.1836,,,, ,  3.250, 0.4543, 0.7489,  5.3
imatest_noise0.9_blur2.0.png,2022-06-20 23:44:25,  450,1 Y,Horiz (V-edge),   91,  NaN, 15.6,-20.6,   85,  480,0.886,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.45,MTF30,0.12617,,,, ,  4.137, 0.0000, 0.4763, 17.0
imatest_noise1.0_blur2.0.png,2022-06-20 23:44:25,  450,1 Y,Horiz (V-edge),   58,  NaN, 29.7,-20.6,   87,   87,0.301,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.52,MTF30,0.12878,,,, ,  4.698, 0.0000, 0.4962, -0.0
imatest_noise0.0_blur2.5.png,2022-06-20 23:44:26,  450,1 Y,Horiz (V-edge),   71,  NaN,  0.3,-22.4,   77,   77,0.004,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.00,MTF30,0.11605,,,, ,  3.887, 0.3904, 0.7294,  0.3
imatest_noise0.1_blur2.5.png,2022-06-20 23:44:27,  450,1 Y,Horiz (V-edge),   71,  NaN,  1.3,-22.1,   77,   77,0.026,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.05,MTF30,0.11589,,,, ,  4.205, 0.3947, 0.7305,  0.8
imatest_noise0.2_blur2.5.png,2022-06-20 23:44:27,  450,1 Y,Horiz (V-edge),   69,  NaN,  2.2,-22.4,   78,   78,0.031,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.05,MTF30,0.11802,,,, ,  4.056, 0.4003, 0.7311,  1.8
imatest_noise0.3_blur2.5.png,2022-06-20 23:44:28,  450,1 Y,Horiz (V-edge),   75,  NaN,  3.5,-22.4,   75,   75,0.097,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.04,MTF30,0.11345,,,, ,  4.006, 0.4079, 0.7323,  4.1
imatest_noise0.4_blur2.5.png,2022-06-20 23:44:28,  450,1 Y,Horiz (V-edge),   74,  NaN,  4.4,-21.8,   75,   75,0.434,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.12,MTF30,0.11224,,,, ,  2.919, 0.4166, 0.7356,  6.4
imatest_noise0.5_blur2.5.png,2022-06-20 23:44:28,  450,1 Y,Horiz (V-edge),   74,  NaN, 13.9,-21.9,   76,   76,0.229,,, , ,7% left of ctr, ,,0.500,  NaN, 0.17,MTF30,0.11102,,,, ,  4.754, 0.4230, 0.7424,  5.5
imatest_noise0.6_blur2.5.png,2022-06-20 23:44:29,  450,1 Y,Horiz (V-edge),   69,  NaN,  9.7,-21.1,   75,   75,0.235,,, , ,7% left of ctr, ,,0.500,  NaN, 0.18,MTF30,0.11223,,,, ,  4.704, 0.4296, 0.7460,  5.4
imatest_noise0.7_blur2.5.png,2022-06-20 23:44:29,  450,1 Y,Horiz (V-edge),   87,  NaN, 18.2,-19.2,   79,   79,0.405,,, , ,7% left of ctr, ,,0.500,  NaN, 0.37,MTF30,0.11221,,,, ,  3.300, 0.4466, 0.7428, 10.8
imatest_noise0.8_blur2.5.png,2022-06-20 23:44:30,  450,1 Y,Horiz (V-edge),   80,  NaN, 15.4,-20.9,   85,   85,0.740,,, , ,7% left of ctr, ,,0.500,  NaN, 0.12,MTF30,0.11868,,,, ,  3.450, 0.4557, 0.7419, 12.7
imatest_noise0.9_blur2.5.png,2022-06-20 23:44:30,  450,1 Y,Horiz (V-edge),   93,  NaN, 12.2,-23.0,   92,   92,0.265,,, , ,7% left of ctr, ,,0.500,  NaN, 0.61,MTF30,0.13758,,,, ,  2.494, 0.0000, 0.4618,  8.8
imatest_noise1.0_blur2.5.png,2022-06-20 23:44:31,  450,1 Y,Horiz (V-edge),  100,  NaN, 14.4,-22.6,   95,   95,0.386,,, , ,7% left of ctr, ,,0.500,  NaN, 0.36,MTF30,0.13786,,,, ,  2.700, 0.0000, 0.4689,  9.9
imatest_noise0.0_blur3.0.png,2022-06-20 23:44:32,  450,1 Y,Horiz (V-edge),   60,  NaN,  0.9,-22.3,   68,   68,0.008,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.00,MTF30,0.10147,,,, ,  2.894, 0.3943, 0.7287,  0.9
imatest_noise0.1_blur3.0.png,2022-06-20 23:44:32,  450,1 Y,Horiz (V-edge),   62,  NaN,  2.4,-22.3,   69,   69,0.039,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.04,MTF30,0.10219,,,, ,  4.174, 0.3990, 0.7300,  1.5
imatest_noise0.2_blur3.0.png,2022-06-20 23:44:33,  450,1 Y,Horiz (V-edge),   63,  NaN,  3.6,-22.1,   69,   69,0.047,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.11,MTF30,0.10284,,,, ,  2.594, 0.4038, 0.7312,  1.8
imatest_noise0.3_blur3.0.png,2022-06-20 23:44:33,  450,1 Y,Horiz (V-edge),   62,  NaN,  3.5,-22.2,   67,   67,0.142,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.23,MTF30,0.098468,,,, ,  1.987, 0.4100, 0.7324,  3.1
imatest_noise0.4_blur3.0.png,2022-06-20 23:44:34,  450,1 Y,Horiz (V-edge),   61,  NaN,  6.7,-22.5,   66,   66,0.319,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.15,MTF30,0.096047,,,, ,  0.815, 0.4175, 0.7306,  6.2
imatest_noise0.5_blur3.0.png,2022-06-20 23:44:34,  450,1 Y,Horiz (V-edge),   68,  NaN, 10.8,-24.3,   71,   71,0.328,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.48,MTF30,0.12147,,,, , -0.790, 0.4247, 0.7340,  3.2
imatest_noise0.6_blur3.0.png,2022-06-20 23:44:35,  450,1 Y,Horiz (V-edge),   87,  NaN,  9.4,-21.4,   69,   69,0.073,,, , ,7% left of ctr, ,,0.500,  NaN, 0.20,MTF30,0.10736,,,, ,  0.533, 0.4257, 0.7339,  4.0
imatest_noise0.7_blur3.0.png,2022-06-20 23:44:35,  450,1 Y,Horiz (V-edge),   94,  NaN, 20.7,-22.8,   70,   70,0.055,,, , ,7% left of ctr, ,,0.500,  NaN, 0.06,MTF30,0.11459,,,, , -0.965, 0.4439, 0.7386,  7.2
imatest_noise0.8_blur3.0.png,2022-06-20 23:44:36,  450,1 Y,Horiz (V-edge),   89,  NaN, 20.2,-19.6,   76,  686,0.997,,, , ,7.1% left of ctr, ,,0.500,  NaN, 0.51,MTF30,0.25313,,,, ,  0.809, 0.0000, 0.4578,  9.3
imatest_noise0.9_blur3.0.png,2022-06-20 23:44:36,  450,1 Y,Horiz (V-edge),  161,  NaN, 39.0,-25.1,   75,  464,0.686,,, , ,7% left of ctr, ,,0.500,  NaN,11.02,MTF30,0.20069,,,, , -0.796, 0.0000, 0.4688, 32.5
imatest_noise1.0_blur3.0.png,2022-06-20 23:44:37,  450,1 Y,Horiz (V-edge),   76,  NaN, 32.9,-40.5,  143,  691,0.669,,, , ,7.1% left of ctr, ,,0.500,  NaN, 1.77,MTF30,1.904,,,, ,  1.373, 0.0000, 0.4869, 13.3
imatest_noise0.0_blur3.5.png,2022-06-20 23:44:37,  450,1 Y,Horiz (V-edge),   55,  NaN,  2.0,-24.1,   63,   63,0.007,,, , ,7% left of ctr, ,,0.500,  NaN, 0.00,MTF30,0.089794,,,, ,  3.100, 0.3995, 0.7272,  2.5
imatest_noise0.1_blur3.5.png,2022-06-20 23:44:38,  450,1 Y,Horiz (V-edge),   56,  NaN,  2.4,-24.1,   63,   63,0.030,,, , ,7% left of ctr, ,,0.500,  NaN, 0.04,MTF30,0.090124,,,, ,  2.613, 0.4042, 0.7277,  2.2
imatest_noise0.2_blur3.5.png,2022-06-20 23:44:38,  450,1 Y,Horiz (V-edge),   56,  NaN,  3.5,-24.0,   64,   64,0.043,,, , ,7% left of ctr, ,,0.500,  NaN, 0.07,MTF30,0.091792,,,, ,  3.244, 0.4098, 0.7287,  3.8
imatest_noise0.3_blur3.5.png,2022-06-20 23:44:39,  450,1 Y,Horiz (V-edge),   56,  NaN,  3.9,-23.8,   63,   63,0.108,,, , ,7% left of ctr, ,,0.500,  NaN, 0.10,MTF30,0.090019,,,, ,  2.806, 0.4197, 0.7319,  3.0
imatest_noise0.4_blur3.5.png,2022-06-20 23:44:39,  450,1 Y,Horiz (V-edge),   54,  NaN,  7.2,-24.3,   61,   61,0.124,,, , ,7.1% left of ctr, ,,0.500,  NaN, 0.19,MTF30,0.086915,,,, ,  2.781, 0.4296, 0.7343,  3.3
imatest_noise0.5_blur3.5.png,2022-06-20 23:44:40,  450,1 Y,Horiz (V-edge),   59,  NaN,  8.0,-24.4,   65,   65,0.315,,, , ,7.1% left of ctr, ,,0.500,  NaN, 0.19,MTF30,0.097622,,,, ,  2.519, 0.0000, 0.4195,  7.0
imatest_noise0.6_blur3.5.png,2022-06-20 23:44:41,  450,1 Y,Horiz (V-edge),   69,  NaN, 10.3,-24.4,   64,   64,0.457,,, , ,7.2% left of ctr, ,,0.500,  NaN, 0.46,MTF30,0.094579,,,, ,  1.404, 0.0000, 0.4306, 11.7
imatest_noise0.7_blur3.5.png,2022-06-20 23:44:41,  450,1 Y,Horiz (V-edge),   59,  NaN, 18.3,-21.7,   71,   71,0.335,,, , ,7.2% left of ctr, ,,0.500,  NaN, 0.45,MTF30,0.10655,,,, ,  3.550, 0.0000, 0.4186, 12.7
imatest_noise0.8_blur3.5.png,2022-06-20 23:44:42,  450,1 Y,Horiz (V-edge),   66,  NaN, 15.3,-25.9,   58,   58,0.693,,, , ,7.2% left of ctr, ,,0.500,  NaN, 0.97,MTF30,0.083441,,,, , -0.871, 0.0000, 0.4374, 13.4
imatest_noise0.9_blur3.5.png,2022-06-20 23:44:42,  450,1 Y,Horiz (V-edge),   69,  NaN, 31.8,-28.4,   58,   58,0.419,,, , ,7.2% left of ctr, ,,0.500,  NaN, 0.28,MTF30,0.08762,,,, , -2.005, 0.0000, 0.4479, 12.0
imatest_noise1.0_blur3.5.png,2022-06-20 23:44:43,  450,1 Y,Horiz (V-edge),   81,  NaN, 25.2,-25.6,   55,   55,0.171,,, , ,7.3% left of ctr, ,,0.500,  NaN, 0.68,MTF30,0.07809,,,, ,  1.028, 0.0000, 0.4637, 14.5
imatest_noise0.0_blur4.0.png,2022-06-20 23:44:43,  450,1 Y,Horiz (V-edge),   50,  NaN,  3.7,-25.5,   58,   58,0.009,,, , ,7% left of ctr, ,,0.500,  NaN, 0.00,MTF30,0.084242,,,, ,  2.237, 0.4059, 0.7246,  3.5
imatest_noise0.1_blur4.0.png,2022-06-20 23:44:44,  450,1 Y,Horiz (V-edge),   50,  NaN,  4.1,-25.4,   59,   59,0.047,,, , ,7% left of ctr, ,,0.500,  NaN, 0.03,MTF30,0.084643,,,, ,  1.905, 0.4102, 0.7254,  4.9
imatest_noise0.2_blur4.0.png,2022-06-20 23:44:44,  450,1 Y,Horiz (V-edge),   50,  NaN,  5.4,-25.7,   58,   58,0.044,,, , ,7% left of ctr, ,,0.500,  NaN, 0.06,MTF30,0.084097,,,, ,  2.250, 0.4144, 0.7266,  4.5
imatest_noise0.3_blur4.0.png,2022-06-20 23:44:45,  450,1 Y,Horiz (V-edge),   50,  NaN, 13.2,-26.5,   58,   58,0.104,,, , ,7% left of ctr, ,,0.500,  NaN, 0.25,MTF30,0.084471,,,, ,  0.639, 0.4219, 0.7291,  6.0
imatest_noise0.4_blur4.0.png,2022-06-20 23:44:45,  450,1 Y,Horiz (V-edge),   50,  NaN,  5.9,-26.1,   57,   57,0.024,,, , ,6.9% left of ctr, ,,0.500,  NaN, 0.23,MTF30,0.083095,,,, ,  2.656, 0.4275, 0.7300, 10.3
